Include=yes;Acq Date=2019-01-14;Acq Time=15:20:48;Species=;Cell Type=;ID=;Age=;Sex=unknown;Genotype=;Condition1=;Condition2=;Note=;
,spikeNumber,detectionType,sweep,epoch,epochLevel,sweepSpikeNumber,userType,errors,analysisDate,analysisTime,modDate,modTime,analysisVersion,interfaceVersion,file,condition,dvdtThreshold,mvThreshold,medianFilter,halfHeights,thresholdPnt,thresholdSec,thresholdVal,thresholdVal_dvdt,dacCommand,peakPnt,peakSec,peakVal,peakHeight,timeToPeak_ms,fastAhpPnt,fastAhpSec,fastAhpValue,preMinPnt,preMinVal,preLinearFitPnt0,preLinearFitPnt1,earlyDiastolicDuration_ms,preLinearFitVal0,preLinearFitVal1,earlyDiastolicDurationRate,lateDiastolicDuration,preSpike_dvdt_max_pnt,preSpike_dvdt_max_val,preSpike_dvdt_max_val2,postSpike_dvdt_min_pnt,postSpike_dvdt_min_val,postSpike_dvdt_min_val2,isi_pnts,isi_ms,spikeFreq_hz,cycleLength_pnts,cycleLength_ms,diastolicDuration_ms,widths,widths_10,widths_20,widths_50,widths_80,widths_90,user_timeToPeak_ms,Include,Acq Date,Acq Time,Species,Cell Type,ID,Age,Sex,Genotype,Condition1,Condition2,Note
0,0,dvdt,0,0,0.0,0,0,"[{'Spike': 0, 'Seconds': np.float64(0.1899), 'Sweep': 0, 'Epoch': 0, 'Type': 'Pre spike min under-run (mdp)', 'Details': 'Went past startPnt 0 searching for pre-spike min'}, {'Spike': 0, 'Seconds': np.float64(0.1899), 'Sweep': 0, 'Epoch': 0, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -758.373<=8'}, {'Spike': 0, 'Seconds': np.float64(0.1899), 'Sweep': 0, 'Epoch': 0, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-53.54 from peak sec 0.26'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",3798,0.1899,-65.2029854910714,-4.135443239795897,,5163,0.25815,51.46135602678569,116.66434151785708,68.24999999999997,5321,0.26605,21.222795758928562,3752,-64.89815848214283,3757,3775,0.9,-63.9822823660714,-64.62751116071425,-758.3728392673265,,5144,15.991210937499993,166.82278380102025,5165,49.3338448660714,-23.357780612244877,,,,,,2.3,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(5121), 'fallingPnt': np.int64(8277), 'widthPnts': np.int64(3156), 'widthMs': np.float64(157.8)}, {'halfHeight': 50, 'risingPnt': np.int64(5142), 'fallingPnt': np.int64(5722), 'widthPnts': np.int64(580), 'widthMs': np.float64(29.0)}, {'halfHeight': 80, 'risingPnt': np.int64(5146), 'fallingPnt': np.int64(5266), 'widthPnts': np.int64(120), 'widthMs': np.float64(6.0)}, {'halfHeight': 90, 'risingPnt': np.int64(5149), 'fallingPnt': np.int64(5204), 'widthPnts': np.int64(55), 'widthMs': np.float64(2.75)}]",,157.8,29.0,6.0,2.75,68.24999999999997,yes,2019-01-14,15:20:48,,,,,unknown,,,,
1,1,dvdt,0,0,0.0,1,0,"[{'Spike': 1, 'Seconds': np.float64(0.795), 'Sweep': 0, 'Epoch': 0, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 1, 'Seconds': np.float64(0.795), 'Sweep': 0, 'Epoch': 0, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -4055.724<=8'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",15899,0.79495,-65.02859933035711,0.2889827806122839,,17666,0.8833,50.95563616071426,115.98423549107137,88.34999999999992,17825,0.89125,21.920340401785705,15882,-64.83311244419639,15884,15890,0.3,-63.249860491071395,-63.92996651785711,-4055.7238520427168,,17654,14.299665178571422,141.03356186224477,17776,27.51813616071427,-20.976163903061227,12101.0,605.05,1.6527559705809438,12130.0,606.5,0.85,"[{'halfHeight': 10, 'risingPnt': np.int64(17496), 'fallingPnt': np.int64(20787), 'widthPnts': np.int64(3291), 'widthMs': np.float64(164.55)}, {'halfHeight': 20, 'risingPnt': np.int64(17632), 'fallingPnt': np.int64(19836), 'widthPnts': np.int64(2204), 'widthMs': np.float64(110.2)}, {'halfHeight': 50, 'risingPnt': np.int64(17651), 'fallingPnt': np.int64(18286), 'widthPnts': np.int64(635), 'widthMs': np.float64(31.75)}, {'halfHeight': 80, 'risingPnt': np.int64(17656), 'fallingPnt': np.int64(17776), 'widthPnts': np.int64(120), 'widthMs': np.float64(6.0)}, {'halfHeight': 90, 'risingPnt': np.int64(17659), 'fallingPnt': np.int64(17713), 'widthPnts': np.int64(54), 'widthMs': np.float64(2.7)}]",164.55,110.2,31.75,6.0,2.7,88.34999999999992,yes,2019-01-14,15:20:48,,,,,unknown,,,,
2,2,dvdt,0,1,0.0,2,0,"[{'Spike': 2, 'Seconds': np.float64(1.4291), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}, {'Spike': 2, 'Seconds': np.float64(1.4291), 'Sweep': 0, 'Epoch': 1, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-53.39 from peak sec 1.53'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",28582,1.4290999999999998,-64.94140624999997,-2.8798628826530988,,30501,1.52505,50.606863839285694,115.54827008928567,95.9500000000002,30659,1.53295,19.635881696428562,28582,-64.44998604910711,28582,28582,0.0,-64.94140624999997,-64.94140624999997,,,30485,12.36397879464285,153.87834821428555,30578,31.808035714285698,-21.265146683673457,12683.0,634.15,1.576913979342427,12700.0,635.0,0.0,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(30462), 'fallingPnt': np.int64(33714), 'widthPnts': np.int64(3252), 'widthMs': np.float64(162.6)}, {'halfHeight': 50, 'risingPnt': np.int64(30483), 'fallingPnt': np.int64(31081), 'widthPnts': np.int64(598), 'widthMs': np.float64(29.9)}, {'halfHeight': 80, 'risingPnt': np.int64(30488), 'fallingPnt': np.int64(30600), 'widthPnts': np.int64(112), 'widthMs': np.float64(5.6)}, {'halfHeight': 90, 'risingPnt': np.int64(30490), 'fallingPnt': np.int64(30546), 'widthPnts': np.int64(56), 'widthMs': np.float64(2.8)}]",,162.6,29.9,5.6,2.8,95.9500000000002,yes,2019-01-14,15:20:48,,,,,unknown,,,,
3,3,dvdt,0,1,0.0,3,0,"[{'Spike': 3, 'Seconds': np.float64(2.1778), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -1763.791<=8'}, {'Spike': 3, 'Seconds': np.float64(2.1778), 'Sweep': 0, 'Epoch': 1, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-52.64 from peak sec 2.24'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",43555,2.17775,-64.17410714285711,-9.675940688775558,,44754,2.2377,51.1648995535714,115.33900669642851,59.949999999999726,44909,2.24545,21.519252232142847,43539,-64.5757184709821,43541,43547,0.3,-62.93596540178568,-63.44168526785711,-1763.7914540771767,,44740,15.677315848214278,155.93112244897947,44821,34.388950892857125,-21.01602359693871,14973.0,748.65,1.3357376611233556,14957.0,747.85,0.8,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(44720), 'fallingPnt': np.int64(47794), 'widthPnts': np.int64(3074), 'widthMs': np.float64(153.7)}, {'halfHeight': 50, 'risingPnt': np.int64(44738), 'fallingPnt': np.int64(45358), 'widthPnts': np.int64(620), 'widthMs': np.float64(31.0)}, {'halfHeight': 80, 'risingPnt': np.int64(44742), 'fallingPnt': np.int64(44863), 'widthPnts': np.int64(121), 'widthMs': np.float64(6.05)}, {'halfHeight': 90, 'risingPnt': np.int64(44744), 'fallingPnt': np.int64(44798), 'widthPnts': np.int64(54), 'widthMs': np.float64(2.7)}]",,153.7,31.0,6.05,2.7,59.949999999999726,yes,2019-01-14,15:20:48,,,,,unknown,,,,
4,4,dvdt,0,1,0.0,4,0,"[{'Spike': 4, 'Seconds': np.float64(2.8154), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 4, 'Seconds': np.float64(2.8154), 'Sweep': 0, 'Epoch': 1, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-52.66 from peak sec 2.91'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",56309,2.81545,-63.982282366071395,-7.613201530612244,,58225,2.91125,49.24665178571426,113.22893415178567,95.80000000000011,58384,2.9192,20.368303571428562,55999,-64.2227608816964,56030,56154,6.2,-62.674386160714256,-62.83133370535711,23.792254411591067,,58205,16.02608816964285,149.41406249999983,58273,38.155691964285694,-22.241709183673507,12754.0,637.7,1.5681354869060686,12460.0,623.0,15.5,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(58182), 'fallingPnt': np.int64(61660), 'widthPnts': np.int64(3478), 'widthMs': np.float64(173.9)}, {'halfHeight': 50, 'risingPnt': np.int64(58202), 'fallingPnt': np.int64(58850), 'widthPnts': np.int64(648), 'widthMs': np.float64(32.4)}, {'halfHeight': 80, 'risingPnt': np.int64(58207), 'fallingPnt': np.int64(58335), 'widthPnts': np.int64(128), 'widthMs': np.float64(6.4)}, {'halfHeight': 90, 'risingPnt': np.int64(58209), 'fallingPnt': np.int64(58274), 'widthPnts': np.int64(65), 'widthMs': np.float64(3.25)}]",,173.9,32.4,6.4,3.25,95.80000000000011,yes,2019-01-14,15:20:48,,,,,unknown,,,,
5,5,dvdt,0,1,0.0,5,0,[],20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",68237,3.41185,-65.11579241071425,-3.2585299744897824,,69772,3.4886,49.54310825892855,114.6589006696428,76.7500000000001,69930,3.4965,23.856026785714274,68208,-64.54816545758926,68211,68222,0.55,-64.45312499999997,-62.866210937499964,989.245129871077,,69754,11.579241071428566,144.61096938775495,69797,44.015066964285694,-17.368861607142914,11928.0,596.4,1.6767270288397051,12209.0,610.45,1.45,"[{'halfHeight': 10, 'risingPnt': np.int64(69541), 'fallingPnt': np.int64(73443), 'widthPnts': np.int64(3902), 'widthMs': np.float64(195.1)}, {'halfHeight': 20, 'risingPnt': np.int64(69730), 'fallingPnt': np.int64(72353), 'widthPnts': np.int64(2623), 'widthMs': np.float64(131.15)}, {'halfHeight': 50, 'risingPnt': np.int64(69752), 'fallingPnt': np.int64(70465), 'widthPnts': np.int64(713), 'widthMs': np.float64(35.65)}, {'halfHeight': 80, 'risingPnt': np.int64(69757), 'fallingPnt': np.int64(69899), 'widthPnts': np.int64(142), 'widthMs': np.float64(7.1)}, {'halfHeight': 90, 'risingPnt': np.int64(69759), 'fallingPnt': np.int64(69827), 'widthPnts': np.int64(68), 'widthMs': np.float64(3.4)}]",195.1,131.15,35.65,7.1,3.4,76.7500000000001,yes,2019-01-14,15:20:48,,,,,unknown,,,,
6,6,dvdt,0,1,0.0,6,0,[],20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",80192,4.0096,-62.168666294642826,-10.25390625000002,,80956,4.0478000000000005,49.47335379464283,111.64202008928567,38.20000000000068,81113,4.05565,22.269112723214274,79616,-64.45818219866068,79674,79904,11.5,-62.83133370535711,-62.09891183035711,83.81564088085894,,80938,18.415178571428562,137.29671556122437,80978,43.94531249999998,-20.16900510204076,11955.0,597.75,1.6729401923881222,11408.0,570.4,28.8,"[{'halfHeight': 10, 'risingPnt': np.int64(80833), 'fallingPnt': np.int64(84074), 'widthPnts': np.int64(3241), 'widthMs': np.float64(162.05)}, {'halfHeight': 20, 'risingPnt': np.int64(80919), 'fallingPnt': np.int64(83127), 'widthPnts': np.int64(2208), 'widthMs': np.float64(110.4)}, {'halfHeight': 50, 'risingPnt': np.int64(80935), 'fallingPnt': np.int64(81574), 'widthPnts': np.int64(639), 'widthMs': np.float64(31.95)}, {'halfHeight': 80, 'risingPnt': np.int64(80940), 'fallingPnt': np.int64(81069), 'widthPnts': np.int64(129), 'widthMs': np.float64(6.45)}, {'halfHeight': 90, 'risingPnt': np.int64(80942), 'fallingPnt': np.int64(81004), 'widthPnts': np.int64(62), 'widthMs': np.float64(3.1)}]",162.05,110.4,31.95,6.45,3.1,38.20000000000068,yes,2019-01-14,15:20:48,,,,,unknown,,,,
7,7,dvdt,0,1,0.0,7,0,"[{'Spike': 7, 'Seconds': np.float64(4.63), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",92599,4.62995,-61.15722656249997,-10.243941326530612,,93056,4.6528,50.0662667410714,111.22349330357137,22.850000000000037,93215,4.66075,20.99609374999999,91919,-64.73981584821425,91987,92259,13.6,-64.12179129464282,-61.99428013392854,116.67149479584855,,93042,13.48005022321428,153.5096460459182,93075,45.70661272321426,-24.722975127551017,12407.0,620.35,1.6119932296284354,12303.0,615.15,34.0,"[{'halfHeight': 10, 'risingPnt': np.int64(92959), 'fallingPnt': np.int64(96171), 'widthPnts': np.int64(3212), 'widthMs': np.float64(160.6)}, {'halfHeight': 20, 'risingPnt': np.int64(93026), 'fallingPnt': np.int64(95193), 'widthPnts': np.int64(2167), 'widthMs': np.float64(108.35)}, {'halfHeight': 50, 'risingPnt': np.int64(93040), 'fallingPnt': np.int64(93635), 'widthPnts': np.int64(595), 'widthMs': np.float64(29.75)}, {'halfHeight': 80, 'risingPnt': np.int64(93045), 'fallingPnt': np.int64(93164), 'widthPnts': np.int64(119), 'widthMs': np.float64(5.95)}, {'halfHeight': 90, 'risingPnt': np.int64(93047), 'fallingPnt': np.int64(93103), 'widthPnts': np.int64(56), 'widthMs': np.float64(2.8)}]",160.6,108.35,29.75,5.95,2.8,22.850000000000037,yes,2019-01-14,15:20:48,,,,,unknown,,,,
8,8,dvdt,0,1,0.0,8,0,"[{'Spike': 8, 'Seconds': np.float64(5.2559), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}, {'Spike': 8, 'Seconds': np.float64(5.2559), 'Sweep': 0, 'Epoch': 1, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-53.36 from peak sec 5.33'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",105117,5.255850000000001,-64.80189732142854,-0.7274394132653077,,106638,5.331899999999999,49.630301339285694,114.43219866071423,76.04999999999862,106795,5.33975,19.98465401785713,105117,-64.1835239955357,105117,105117,0.0,-64.80189732142854,-64.80189732142854,,,106623,15.206473214285708,151.45687181122435,106692,36.37695312499998,-24.722975127550995,12518.0,625.9,1.5976993129892954,13198.0,659.9,0.0,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(106599), 'fallingPnt': np.int64(109449), 'widthPnts': np.int64(2850), 'widthMs': np.float64(142.5)}, {'halfHeight': 50, 'risingPnt': np.int64(106620), 'fallingPnt': np.int64(107262), 'widthPnts': np.int64(642), 'widthMs': np.float64(32.1)}, {'halfHeight': 80, 'risingPnt': np.int64(106625), 'fallingPnt': np.int64(106749), 'widthPnts': np.int64(124), 'widthMs': np.float64(6.2)}, {'halfHeight': 90, 'risingPnt': np.int64(106628), 'fallingPnt': np.int64(106688), 'widthPnts': np.int64(60), 'widthMs': np.float64(3.0)}]",,142.5,32.1,6.2,3.0,76.04999999999862,yes,2019-01-14,15:20:48,,,,,unknown,,,,
9,9,dvdt,0,1,0.0,9,0,[],20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",114956,5.7478,-64.08691406249997,-17.26921237244894,,116308,5.8153999999999995,49.42103794642855,113.50795200892853,67.59999999999965,116463,5.82315,22.56556919642856,114765,-63.991873604910694,114784,114861,3.85,-63.755580357142826,-63.2498604910714,153.60909356152754,,116295,17.560686383928562,144.5312499999999,116503,18.69419642857142,-24.234693877550995,9839.0,491.95,2.032726903140563,9648.0,482.4,9.55,"[{'halfHeight': 10, 'risingPnt': np.int64(116140), 'fallingPnt': np.int64(119853), 'widthPnts': np.int64(3713), 'widthMs': np.float64(185.65)}, {'halfHeight': 20, 'risingPnt': np.int64(116270), 'fallingPnt': np.int64(118699), 'widthPnts': np.int64(2429), 'widthMs': np.float64(121.45)}, {'halfHeight': 50, 'risingPnt': np.int64(116292), 'fallingPnt': np.int64(116953), 'widthPnts': np.int64(661), 'widthMs': np.float64(33.05)}, {'halfHeight': 80, 'risingPnt': np.int64(116297), 'fallingPnt': np.int64(116425), 'widthPnts': np.int64(128), 'widthMs': np.float64(6.4)}, {'halfHeight': 90, 'risingPnt': np.int64(116299), 'fallingPnt': np.int64(116358), 'widthPnts': np.int64(59), 'widthMs': np.float64(2.95)}]",185.65,121.45,33.05,6.4,2.95,67.59999999999965,yes,2019-01-14,15:20:48,,,,,unknown,,,,
10,10,dvdt,0,1,0.0,10,0,[],20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",124622,6.2311000000000005,-57.68694196428569,-9.416852678571457,,125007,6.25035,46.73549107142855,104.42243303571423,19.249999999999545,125165,6.25825,22.56556919642856,123865,-62.47802734374997,123941,124243,15.1,-61.64550781249997,-60.58175223214283,114.94057145766216,,124991,15.363420758928564,130.71986607142844,125149,24.16992187499999,-21.28507653061222,9666.0,483.3,2.069108214359611,9100.0,455.0,37.85,"[{'halfHeight': 10, 'risingPnt': np.int64(124928), 'fallingPnt': np.int64(128148), 'widthPnts': np.int64(3220), 'widthMs': np.float64(161.0)}, {'halfHeight': 20, 'risingPnt': np.int64(124974), 'fallingPnt': np.int64(127056), 'widthPnts': np.int64(2082), 'widthMs': np.float64(104.1)}, {'halfHeight': 50, 'risingPnt': np.int64(124988), 'fallingPnt': np.int64(125680), 'widthPnts': np.int64(692), 'widthMs': np.float64(34.6)}, {'halfHeight': 80, 'risingPnt': np.int64(124993), 'fallingPnt': np.int64(125134), 'widthPnts': np.int64(141), 'widthMs': np.float64(7.05)}, {'halfHeight': 90, 'risingPnt': np.int64(124996), 'fallingPnt': np.int64(125060), 'widthPnts': np.int64(64), 'widthMs': np.float64(3.2)}]",161.0,104.1,34.6,7.05,3.2,19.249999999999545,yes,2019-01-14,15:20:48,,,,,unknown,,,,
11,11,dvdt,0,1,0.0,11,0,"[{'Spike': 11, 'Seconds': np.float64(6.569), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",131381,6.56905,-64.24386160714282,-6.636639030612242,,133293,6.66465,46.52622767857141,110.77008928571422,95.60000000000014,133449,6.6724499999999995,24.100167410714274,131381,-63.52870396205354,131381,131381,0.0,-64.24386160714282,-64.24386160714282,,,133278,14.31710379464285,139.14022640306112,133387,30.3431919642857,-17.348931760204067,6759.0,337.95,2.959017606154757,7516.0,375.8,0.0,"[{'halfHeight': 10, 'risingPnt': np.int64(133068), 'fallingPnt': np.int64(136602), 'widthPnts': np.int64(3534), 'widthMs': np.float64(176.7)}, {'halfHeight': 20, 'risingPnt': np.int64(133247), 'fallingPnt': np.int64(135770), 'widthPnts': np.int64(2523), 'widthMs': np.float64(126.15)}, {'halfHeight': 50, 'risingPnt': np.int64(133275), 'fallingPnt': np.int64(134105), 'widthPnts': np.int64(830), 'widthMs': np.float64(41.5)}, {'halfHeight': 80, 'risingPnt': np.int64(133280), 'fallingPnt': np.int64(133449), 'widthPnts': np.int64(169), 'widthMs': np.float64(8.45)}, {'halfHeight': 90, 'risingPnt': np.int64(133283), 'fallingPnt': np.int64(133358), 'widthPnts': np.int64(75), 'widthMs': np.float64(3.75)}]",176.7,126.15,41.5,8.45,3.75,95.60000000000014,yes,2019-01-14,15:20:48,,,,,unknown,,,,
12,12,dvdt,0,1,0.0,12,0,"[{'Spike': 12, 'Seconds': np.float64(7.2302), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 12, 'Seconds': np.float64(7.2302), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}, {'Spike': 12, 'Seconds': np.float64(7.2302), 'Sweep': 0, 'Epoch': 1, 'Type': 'Spike Width', 'Details': 'Half width 10 error in ""falling point"" with halfWidthWindow_ms:200.0 searching for Vm:-53.47 from peak sec 7.28'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",144603,7.23015,-64.94140624999997,-0.5281409438774766,,145681,7.284050000000001,49.80468749999997,114.74609374999994,53.9000000000005,145840,7.292,21.711077008928562,144603,-64.05639648437497,144603,144603,0.0,-64.94140624999997,-64.94140624999997,,,145662,13.671874999999993,150.39062499999983,145966,11.492047991071423,-21.952726403061202,13222.0,661.1,1.5126304643775526,13222.0,661.1,0.0,"[{'halfHeight': 10, 'risingPnt': None, 'fallingPnt': None, 'widthPnts': None, 'widthMs': nan}, {'halfHeight': 20, 'risingPnt': np.int64(145641), 'fallingPnt': np.int64(148917), 'widthPnts': np.int64(3276), 'widthMs': np.float64(163.8)}, {'halfHeight': 50, 'risingPnt': np.int64(145659), 'fallingPnt': np.int64(146314), 'widthPnts': np.int64(655), 'widthMs': np.float64(32.75)}, {'halfHeight': 80, 'risingPnt': np.int64(145664), 'fallingPnt': np.int64(145800), 'widthPnts': np.int64(136), 'widthMs': np.float64(6.8)}, {'halfHeight': 90, 'risingPnt': np.int64(145667), 'fallingPnt': np.int64(145731), 'widthPnts': np.int64(64), 'widthMs': np.float64(3.2)}]",,163.8,32.75,6.8,3.2,53.9000000000005,yes,2019-01-14,15:20:48,,,,,unknown,,,,
13,13,dvdt,0,1,0.0,13,0,"[{'Spike': 13, 'Seconds': np.float64(7.8123), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fast AHP was detected at end of fast AHP window', 'Details': 'Consider increasing the fast AHP window with fastAhpWindow_ms'}, {'Spike': 13, 'Seconds': np.float64(7.8123), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - Too low -5754.743<=8'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",156246,7.8123000000000005,-63.877650669642826,-11.260363520408216,,158012,7.900600000000001,48.91531808035712,112.79296874999994,88.30000000000027,158171,7.90855,22.94921874999999,156239,-63.990304129464256,156240,156243,0.15,-62.36049107142854,-62.883649553571395,-5754.743303424421,,157995,16.845703124999993,132.00534119897947,158294,14.160156249999993,-21.623883928571406,11643.0,582.15,1.7177703341063302,11636.0,581.8,0.35,"[{'halfHeight': 10, 'risingPnt': np.int64(157840), 'fallingPnt': np.int64(160974), 'widthPnts': np.int64(3134), 'widthMs': np.float64(156.7)}, {'halfHeight': 20, 'risingPnt': np.int64(157969), 'fallingPnt': np.int64(160213), 'widthPnts': np.int64(2244), 'widthMs': np.float64(112.2)}, {'halfHeight': 50, 'risingPnt': np.int64(157992), 'fallingPnt': np.int64(158740), 'widthPnts': np.int64(748), 'widthMs': np.float64(37.4)}, {'halfHeight': 80, 'risingPnt': np.int64(157997), 'fallingPnt': np.int64(158149), 'widthPnts': np.int64(152), 'widthMs': np.float64(7.6)}, {'halfHeight': 90, 'risingPnt': np.int64(157999), 'fallingPnt': np.int64(158063), 'widthPnts': np.int64(64), 'widthMs': np.float64(3.2)}]",156.7,112.2,37.4,7.6,3.2,88.30000000000027,yes,2019-01-14,15:20:48,,,,,unknown,,,,
14,14,dvdt,0,1,0.0,14,0,"[{'Spike': 14, 'Seconds': np.float64(8.4468), 'Sweep': 0, 'Epoch': 1, 'Type': 'Fit EDD', 'Details': 'Early diastolic duration rate fit - preMinPnt == spikePnt'}]",20260908,16:38:22,,,20230324a,20230324a,19114001.abf,,20.0,-20.0,0,"[10, 20, 50, 80, 90]",168936,8.4468,-65.4471261160714,-7.672991071428616,,170717,8.53585,49.97907366071426,115.42619977678567,89.0500000000003,170870,8.5435,21.62388392857142,168936,-64.52828543526783,168936,168936,0.0,-65.4471261160714,-65.4471261160714,,,170705,17.804827008928562,142.41868622448968,170757,40.44015066964284,-24.6233258928571,12690.0,634.5,1.5760441292356187,12697.0,634.85,0.0,"[{'halfHeight': 10, 'risingPnt': np.int64(170529), 'fallingPnt': np.int64(174415), 'widthPnts': np.int64(3886), 'widthMs': np.float64(194.3)}, {'halfHeight': 20, 'risingPnt': np.int64(170679), 'fallingPnt': np.int64(173299), 'widthPnts': np.int64(2620), 'widthMs': np.float64(131.0)}, {'halfHeight': 50, 'risingPnt': np.int64(170702), 'fallingPnt': np.int64(171304), 'widthPnts': np.int64(602), 'widthMs': np.float64(30.1)}, {'halfHeight': 80, 'risingPnt': np.int64(170707), 'fallingPnt': np.int64(170829), 'widthPnts': np.int64(122), 'widthMs': np.float64(6.1)}, {'halfHeight': 90, 'risingPnt': np.int64(170709), 'fallingPnt': np.int64(170768), 'widthPnts': np.int64(59), 'widthMs': np.float64(2.95)}]",194.3,131.0,30.1,6.1,2.95,89.0500000000003,yes,2019-01-14,15:20:48,,,,,unknown,,,,
